date,quarter,house_id,house_type,sales_type,year_build,%_change_between_offer_and_purchase,rooms,sqm,sqm_price,address,zipcode,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%,purchaseprice
8534,100,504628,3,3,1978,-3,5,116,19827.586,20345,2630,514,1,3,0,0.76,1.35,2300000
5430,63,965366,4,3,2010,0,5,158,2816.4558,11158,7500,236,7,2,1.2,1.3,5.5,445000
3469,41,1194661,0,3,1939,0,2,41,10853.658,13943,5000,381,3,1,2,1.15,5.26,445000
6933,81,798577,4,3,1969,-7,5,135,15740.741,39266,4040,275,6,3,0,0.56,3.06,2125000
8223,96,574641,1,3,1930,0,3,112,17410.715,18537,9310,587,5,2,0,0.81,2.12,1950000
7443,87,724014,0,3,1915,-3,2,55,30000,14080,2200,310,1,3,0,0.45,2.78,1650000
8835,103,431618,4,3,1964,-7,4,118,7415.2544,20617,7800,450,7,2,0,0.42,1.1,875000
4051,47,1126211,4,3,1974,0,5,138,8297.102,30289,7200,182,7,2,2,1.82,4.36,1145000
9994,116,14850,0,3,1938,3,2,58,38793.1,17461,2300,312,1,3,3.6,1.13,4.34,2250000
2648,31,1273181,4,3,1962,0,7,180,2000,25572,7760,251,7,2,4.5,2.34,7.05,360000
3189,38,1223327,4,3,1967,0,6,164,6707.317,18247,6715,122,7,2,2.5,2.08,5.11,1100000
3628,42,1175920,4,3,1958,0,7,180,17500,16110,2820,163,1,3,2,1.15,5.26,3150000
3270,38,1214995,2,3,1983,0,2,65,10692.308,10562,4640,131,6,3,2.5,2.08,5.11,695000
7298,85,749157,0,3,1903,0,4,86,33720.93,3896,2200,310,1,3,0,0.45,2.78,2900000
2978,35,1242826,0,3,1979,0,2,75,14666.667,12767,2400,311,1,3,3.25,2.42,6.69,1100000
2702,32,1268506,4,3,1951,0,6,162,4320.988,3496,6200,0,7,2,3.75,2.34,7.05,700000
4995,58,1006876,3,3,1989,0,3,86,9883.721,4964,6100,193,7,2,4,3.42,6.52,850000
4631,54,1051305,4,3,1980,0,5,156,6730.769,16856,4880,369,6,3,3.75,1.69,5.7,1050000
6814,80,812628,4,3,1964,-2,6,149,11661.074,1949,7400,223,7,2,0,0.79,3.48,1737500
128,1,1467575,4,3,1965,0,3,98,5051.0205,64067,9240,359,5,2,6.25,1.99,8.39,495000
8754,102,448339,0,3,1971,0,1,33,9030.303,49669,4760,591,6,3,0,0.76,1.35,298000
4395,51,1081331,4,3,1931,0,7,188,7420.213,41335,5700,500,3,1,2.75,1.92,5.14,1395000
7068,83,780367,2,3,1999,0,6,128,5468.75,42770,6830,376,7,2,0,0.56,3.06,700000
6652,78,832086,1,3,1907,0,8,246,1183.1544,28915,5871,146,3,1,0,0.79,3.48,291056
7500,87,714258,4,1,1963,0,6,151,3062.9138,49061,5953,536,3,1,0,0.45,2.78,462500
7792,91,662833,4,3,1979,0,5,146,8219.178,12529,4450,274,6,3,0,0.25,2.55,1200000
4758,55,1034567,3,3,1965,-4,4,110,15227.272,47845,5230,382,3,1,4,1.69,5.7,1675000
3054,36,1235526,0,3,1943,0,2,60,9250,62813,9632,354,5,2,3.25,2.42,6.69,555000
9081,106,361188,0,3,1875,0,3,79,20063.291,16381,6000,300,7,2,0,0.42,1.1,1585000
6131,71,889091,4,1,1960,0,5,175,9714.286,17601,8600,441,2,2,1,2.76,4.75,1700000
5880,68,914866,4,3,1966,0,6,198,10075.758,30292,9200,6,5,2,0.75,2.31,4.53,1995000
6908,81,801569,3,2,1974,0,5,138,10869.565,62176,2635,266,1,3,0,0.56,3.06,1500000
9286,108,285690,0,3,1964,0,2,54,27685.186,18016,8930,401,2,2,0,1.85,1.47,1495000
2040,24,1323382,0,1,1939,0,3,79,31645.57,54131,7100,564,7,2,2.75,2.5,6.6,2500000
8105,95,600384,4,3,1969,0,6,134,18097.016,58335,4100,412,6,3,0,0.81,2.12,2425000
4067,47,1123933,4,3,1970,0,4,122,7213.1147,13432,8860,550,2,2,2,1.82,4.36,880000
3988,47,1133887,4,3,1978,0,4,143,17132.867,27567,3070,464,4,3,2,1.82,4.36,2450000
5038,58,1001474,4,2,1957,0,5,176,1704.5454,19257,2605,86,1,3,4,3.42,6.52,300000
1131,13,1396766,4,3,1911,0,7,176,3455.2727,5223,9800,231,5,2,3.25,2.18,7.2,608128
5226,61,984732,4,3,1972,-5,3,156,15128.205,48554,4200,460,6,3,3.5,1.3,5.5,2360000
1331,16,1380578,4,3,1960,0,5,138,9105.797,29540,4600,315,6,3,3.25,2.18,7.2,1256600
2365,28,1297106,0,3,1945,0,2,55,12072.728,57517,8000,8,2,2,4.5,2.9,7.33,664000
9613,112,112792,0,3,1933,0,2,75,6933.3335,48936,9982,596,5,2,2.6,3.31,4.79,520000
9995,116,14279,4,3,1910,0,3,148,10777.027,37006,3760,186,0,0,3.6,1.13,4.34,1595000
2307,27,1301643,4,3,1999,0,4,131,13031.558,17412,6800,558,7,2,4.25,2.9,7.33,1707134
6822,80,811499,0,2,1970,0,2,42,10119.048,42731,8800,575,2,2,0,0.79,3.48,425000
8722,102,456788,2,1,2020,0,5,124,10080.6455,52298,8300,380,2,2,0,0.76,1.35,1250000
8840,103,430371,2,3,1981,0,3,97,8195.876,53348,5602,47,3,1,0,0.42,1.1,795000
1145,14,1395876,4,3,1944,0,5,138,6942.029,46722,6200,0,7,2,3.25,2.18,7.2,958000
6467,76,852270,4,3,1935,0,3,84,3787.3809,61608,7752,463,7,2,0,2.4,3.66,318140
4172,49,1110595,3,3,1958,0,4,106,15094.34,59373,2880,49,1,3,2.25,1.92,5.14,1600000
3753,44,1164580,4,3,1890,0,5,187,1866.3102,43774,6500,588,7,2,2,1.15,5.26,349000
7755,90,668951,3,3,1970,-2,4,106,10801.887,32828,4700,371,6,3,0,0.25,2.55,1145000
9261,108,295413,4,3,1988,0,3,132,11704.546,19490,4640,131,6,3,0,1.85,1.47,1545000
7216,84,760256,2,1,1966,0,2,43,16279.069,4388,4573,257,6,3,0,0.56,3.06,700000
1801,21,1343720,4,3,1974,0,4,160,11341,52462,2750,51,1,3,3.5,2.5,6.6,1814560
7161,84,767761,4,3,1976,-6,5,151,10596.026,16443,5330,351,3,1,0,0.56,3.06,1600000
3296,39,1212315,4,3,1900,0,4,131,7519.084,21146,4180,470,6,3,2,2.08,5.11,985000
7427,87,725930,2,3,1968,-5,4,95,10000,34467,4573,257,6,3,0,0.45,2.78,950000
8663,101,472922,4,2,1968,0,7,183,13114.754,32745,2970,262,1,3,0,0.76,1.35,2400000
8774,102,443771,4,3,1973,0,5,146,17363.014,37321,5270,383,3,1,0,0.76,1.35,2535000
7790,91,663145,4,3,1903,-7,5,217,9447.005,28496,5540,549,3,1,0,0.25,2.55,2050000
8639,101,478506,0,3,1948,-3,3,59,27966.102,63927,2500,552,1,3,0,0.76,1.35,1650000
8751,102,449435,4,3,2020,-2,5,170,22352.941,27181,7120,565,7,2,0,0.76,1.35,3800000
4874,57,1021113,4,3,1971,0,4,132,19128.787,17220,3650,24,4,3,4,3.42,6.52,2525000
4045,47,1126856,4,3,1969,0,4,203,7635.468,2826,3700,432,0,0,2,1.82,4.36,1550000
5303,62,978211,4,3,1981,0,4,145,5740.552,29445,6740,75,7,2,2,1.3,5.5,832380
6488,76,849925,0,3,2017,0,3,56,26785.715,39722,3400,225,4,3,0,2.4,3.66,1500000
3595,42,1180071,4,3,1957,0,4,105,7142.857,37824,9330,105,5,2,2,1.15,5.26,750000
4839,56,1024756,2,1,1984,0,4,78,6810.8975,12480,4573,257,6,3,4,1.69,5.7,531250
1259,15,1386473,4,3,1973,0,6,202,8267.079,43589,4320,319,6,3,3.25,2.18,7.2,1669950
4058,47,1125131,2,3,1973,0,4,76,15000,31232,3630,277,4,3,2,1.82,4.36,1140000
9631,112,108913,4,3,1976,-2,4,143,13636.363,5795,8300,380,2,2,2.6,3.31,4.79,1950000
8247,96,568606,4,3,1963,0,5,127,7251.5356,16266,8600,441,2,2,0,0.81,2.12,920945
7771,91,665666,4,3,1972,-1,4,138,6268.1157,37630,7830,582,7,2,0,0.25,2.55,865000
7353,86,739679,2,3,1964,0,4,80,9937.5,9028,3740,498,0,0,0,0.45,2.78,795000
9836,114,54706,4,3,1972,0,4,140,11392.857,38235,7700,519,7,2,3.6,3.31,4.79,1595000
300,3,1455822,4,3,1952,0,6,136,4007.2058,63732,2680,467,1,3,5,1.99,8.39,544980
5970,70,905639,4,3,1938,0,3,79,33481.01,30169,2700,89,1,3,0.75,2.76,4.75,2645000
4545,53,1062323,4,3,1910,0,6,172,13244.187,8076,4420,408,6,3,3.5,1.69,5.7,2278000
5900,69,913012,0,3,1906,-6,6,150,29333.334,63469,2300,312,1,3,0.75,2.76,4.75,4400000
8014,94,618357,4,3,1968,0,5,149,11241.61,58919,3700,432,0,0,0,1.15,2.26,1675000
5127,59,992513,0,3,1943,0,3,85,14705.883,4673,7500,236,7,2,4,3.42,6.52,1250000
7160,84,767994,4,0,1967,0,4,117,3769.2307,53046,5690,532,3,1,0,0.56,3.06,441000
7501,87,713994,4,3,1981,-5,5,120,7083.3335,20924,6200,0,7,2,0,0.45,2.78,850000
5990,70,903537,4,3,1880,-3,3,99,19676.768,12669,8330,54,2,2,0.75,2.76,4.75,1948000
8088,95,603812,4,3,1900,0,3,96,16614.584,29499,9270,294,5,2,0,0.81,2.12,1595000
5657,66,942404,4,0,1961,0,6,124,8629.032,62958,4340,543,6,3,0.75,2.31,4.53,1070000
8400,98,533927,0,3,1959,-2,4,100,21950,45667,3000,217,4,3,0,0.81,2.12,2195000
9397,109,250253,4,3,1965,-2,4,103,14223.301,5526,7400,223,7,2,0,1.85,1.47,1465000
8883,103,420464,4,3,1969,-6,6,154,20454.545,20934,8361,207,2,2,0,0.42,1.1,3150000
4248,49,1100315,4,3,1974,0,4,120,10416.667,36352,7100,564,7,2,2.25,1.92,5.14,1250000
1803,21,1343519,4,2,1989,0,8,229,6986.8994,19148,8310,535,2,2,3.5,2.5,6.6,1600000
8748,102,449747,4,3,1936,-2,6,163,8711.656,60190,4281,190,6,3,0,0.76,1.35,1420000
634,7,1431775,0,3,1937,0,6,218,5045.8716,4030,8660,448,2,2,6,2.13,9.09,1100000
4115,48,1117689,4,3,1962,0,5,151,21854.305,1193,2970,262,1,3,2,1.82,4.36,3300000
5419,63,966152,3,1,1877,0,4,100,5200,14085,4900,357,6,3,1.2,1.3,5.5,520000
7490,87,716183,4,3,1916,0,5,144,3819.4443,19335,7870,415,7,2,0,0.45,2.78,550000
6214,72,880449,0,3,1970,0,3,143,2265.161,64258,4700,371,6,3,1.5,2.76,4.75,323918
9894,115,38662,4,3,1907,-3,8,174,9741.379,28927,5610,38,3,1,3.6,1.13,4.34,1695000
6172,72,884995,0,3,1927,0,2,54,32129.629,56302,8700,243,2,2,1.5,2.76,4.75,1735000
2375,28,1296267,4,3,1877,0,4,143,5157.322,20204,6070,98,7,2,4.5,2.9,7.33,737497
8601,100,488724,4,3,2006,-7,5,177,15819.209,34001,8960,403,2,2,0,0.76,1.35,2800000
2420,29,1292877,0,3,1986,0,3,73,14465.754,35965,2680,467,1,3,4.75,2.34,7.05,1056000
9049,105,371801,4,0,1929,0,5,133,1889.4736,56633,6261,78,7,2,0,0.42,1.1,251300
5462,64,962699,0,3,1909,0,5,177,24858.758,9710,2100,308,1,3,1,1.3,5.5,4400000
9798,114,64950,4,3,1908,0,5,142,25316.902,10404,9000,3,5,2,3.6,3.31,4.79,3595000
4273,50,1097474,0,3,1966,0,2,47,19106.383,62248,2665,554,1,3,2.5,1.92,5.14,898000
4744,55,1036337,4,1,1948,0,5,157,6348.2676,20092,7000,140,7,2,4,1.69,5.7,996678
7297,85,749475,4,3,2015,0,5,173,7514.4507,41541,8320,353,2,2,0,0.45,2.78,1300000
4557,53,1060708,4,3,1973,-3,4,109,24770.643,44835,2625,553,1,3,3.5,1.69,5.7,2700000
10141,118,1174,0,2,2023,0,5,114,36842.105,13580,2820,163,1,3,3.1,1.92702541,4.107445433,4200000
4690,55,1042573,4,3,1952,-2,3,104,8413.462,40293,6650,90,7,2,4,1.69,5.7,875000
1354,16,1378925,4,3,1962,0,4,117,6257.906,15405,7000,140,7,2,3.25,2.18,7.2,732175
8243,96,569545,4,3,2020,0,4,163,6042.945,41446,9970,489,5,2,0,0.81,2.12,985000
5522,64,956716,0,3,1955,0,2,66,25680,38997,7500,236,7,2,1,1.3,5.5,1694880
9390,109,252502,4,3,1900,-2,5,94,19148.936,64840,3630,277,4,3,0,1.85,1.47,1800000
4072,48,1123107,4,1,1935,0,4,146,14315.068,9730,2300,312,1,3,2,1.82,4.36,2090000
8926,104,410718,2,3,1938,0,3,46,16847.826,29484,8585,174,2,2,0,0.42,1.1,775000
3955,46,1139076,2,3,1973,0,4,95,29575.389,38227,3100,240,4,3,2,1.82,4.36,2809662
3967,46,1137189,4,3,1952,0,3,80,8937.5,63790,7840,259,7,2,2,1.82,4.36,715000
5308,62,977710,4,3,1920,-1,5,131,13549.618,21769,9000,3,5,2,2,1.3,5.5,1775000
1351,16,1379153,4,3,1959,0,6,152,9891.783,31982,3460,60,4,3,3.25,2.18,7.2,1503551
5813,68,923136,0,3,1962,0,3,78,21474.36,34266,2770,285,1,3,0.75,2.31,4.53,1675000
7392,86,732555,3,3,2011,0,4,135,18481.482,62511,8680,420,2,2,0,0.45,2.78,2495000
7499,87,714619,4,3,1937,0,5,242,9165.289,22385,7100,564,7,2,0,0.45,2.78,2218000
2803,33,1260029,3,3,1988,0,4,104,11586.538,65666,8220,74,2,2,3.25,2.42,6.69,1205000
7554,88,703293,3,3,1960,0,5,109,29357.799,44478,2770,285,1,3,0,0.45,2.78,3200000
8851,103,427345,4,3,2021,0,6,156,8942.308,27048,4040,275,6,3,0,0.42,1.1,1395000
7430,87,725577,4,3,1968,-3,5,139,17500,35113,8600,441,2,2,0,0.45,2.78,2432500
8713,102,459036,2,3,1995,0,3,65,19923.076,31239,4736,283,6,3,0,0.76,1.35,1295000
5028,58,1002744,2,3,1971,0,3,50,8600,51344,2750,51,1,3,4,3.42,6.52,430000
1103,13,1399013,4,3,1934,0,4,100,10560,8349,2820,163,1,3,3.25,2.18,7.2,1056000
2248,27,1305963,4,3,2002,0,5,156,4166.6665,56822,4000,414,6,3,4.25,2.9,7.33,650000
7852,92,651342,2,3,2017,0,4,90,3888.889,50920,4500,367,6,3,0,0.25,2.55,350000
6575,77,840630,4,3,1988,0,4,106,6603.7734,5242,6000,300,7,2,0,0.79,3.48,700000
7406,86,729900,0,1,1908,0,3,67,38805.97,32904,2000,141,1,3,0,0.45,2.78,2600000
5869,68,916449,0,3,2014,0,4,111,27860.361,27888,5000,381,3,1,0.75,2.31,4.53,3092500
9781,114,69202,4,3,1951,0,3,82,3658.5366,21007,5500,347,3,1,3.6,3.31,4.79,300000
8366,98,541597,0,3,1984,0,2,67,38776.12,26526,8000,8,2,2,0,0.81,2.12,2598000
9357,109,260617,0,3,1958,-1,3,79,19936.709,51767,9000,3,5,2,0,1.85,1.47,1575000
8665,101,472237,4,3,1983,-6,7,175,18285.715,52461,2750,51,1,3,0,0.76,1.35,3200000
7968,93,628438,0,3,1927,-4,3,119,20168.066,64256,9000,3,5,2,0,1.15,2.26,2400000
8008,94,619449,0,1,1939,0,2,60,16666.666,13253,2300,312,1,3,0,1.15,2.26,1000000
8692,101,464881,4,3,1929,0,4,106,4056.6038,61054,9670,334,5,2,0,0.76,1.35,430000
7331,86,743845,0,3,1974,0,3,74,9729.7295,3825,5462,349,3,1,0,0.45,2.78,720000
136,1,1466877,0,3,1906,0,2,52,22115.385,6981,9700,88,5,2,6.25,1.99,8.39,1150000
7943,93,634308,4,3,2017,-3,5,154,14480.52,17271,9760,592,5,2,0,1.15,2.26,2230000
8339,97,548301,4,3,1967,-4,6,176,24630.682,59052,2650,254,1,3,0,0.81,2.12,4335000
10042,116,2508,4,3,1976,0,6,170,5000,972,6780,456,7,2,3.6,1.13,4.34,850000
4169,49,1110963,2,3,1951,0,4,87,19722.414,47531,4581,434,6,3,2.25,1.92,5.14,1715850
2658,31,1272357,4,3,1928,0,6,131,5572.519,63461,9940,332,5,2,4.5,2.34,7.05,730000
1372,16,1377555,4,3,1932,0,5,141,2127.6597,15818,7742,570,7,2,3.25,2.18,7.2,300000
160,2,1465275,4,3,1927,0,5,100,2980,18766,7990,40,7,2,5.5,1.99,8.39,298000
9852,114,49607,4,1,1982,0,5,118,6567.7964,14549,8920,402,2,2,3.6,3.31,4.79,775000
6710,78,824567,3,3,1964,-6,3,81,18518.518,26629,2630,514,1,3,0,0.79,3.48,1500000
2491,29,1287141,2,1,1955,0,3,70,8142.857,32126,8400,110,2,2,4.75,2.34,7.05,570000
5692,66,937827,4,3,1934,-6,5,125,12800,57748,5500,347,3,1,0.75,2.31,4.53,1600000
6680,78,828720,4,3,1959,-4,5,129,14534.884,8597,2660,87,1,3,0,0.79,3.48,1875000
6944,81,797316,4,3,2015,0,4,137,2153.2847,42350,4690,206,6,3,0,0.56,3.06,295000
9639,112,106875,2,3,1981,-1,3,54,14537.037,30840,9370,197,5,2,2.6,3.31,4.79,785000
8630,101,480334,4,3,1927,-6,3,82,17743.902,18625,3200,216,4,3,0,0.76,1.35,1455000
2708,32,1268036,4,3,1924,0,3,99,15151.516,32404,9500,232,5,2,3.75,2.34,7.05,1500000
3978,46,1135198,4,3,1968,0,6,177,9237.288,42276,8800,575,2,2,2,1.82,4.36,1635000
4069,47,1123570,4,3,1973,0,7,254,10622.047,46367,8210,10,2,2,2,1.82,4.36,2698000
10105,117,146293,0,3,1969,0,1,43,25581.395,12100,4000,414,6,3,3.35,1.13,4.34,1100000
8181,96,584756,0,3,1966,0,3,86,20232.559,62253,2665,554,1,3,0,0.81,2.12,1740000
8558,100,499375,0,3,1969,-6,3,74,16418.918,57816,3050,248,4,3,0,0.76,1.35,1215000
8356,98,543798,4,3,2006,0,5,131,13167.938,45651,6950,411,7,2,0,0.81,2.12,1725000
9358,109,260335,4,3,1932,-5,6,161,15916.149,33902,7500,236,7,2,0,1.85,1.47,2562500
7077,83,779103,4,3,2015,0,7,203,8374.384,24997,3400,225,4,3,0,0.56,3.06,1700000
1186,14,1392720,0,3,1890,0,2,73,36022.875,6936,8740,85,2,2,3.25,2.18,7.2,2629670
4687,54,1042889,4,3,2009,0,6,159,3113.2075,11882,8722,211,2,2,3.75,1.69,5.7,495000
2351,28,1298142,4,3,1953,0,2,76,19473.684,9840,2740,453,1,3,4.5,2.9,7.33,1480000
2329,28,1299815,0,3,1920,0,2,58,11206.896,26328,8700,243,2,2,4.5,2.9,7.33,650000
3010,35,1239746,0,3,1970,0,4,115,6514.4956,1888,7100,564,7,2,3.25,2.42,6.69,749167
4259,50,1098958,4,3,1975,0,4,185,14540.541,13228,3660,479,4,3,2.5,1.92,5.14,2690000
665,8,1429815,0,3,1913,0,4,92,4619.5654,45202,4000,414,6,3,5,2.13,9.09,425000
3927,46,1143110,4,3,1949,0,3,72,9722.223,18440,8870,318,2,2,2,1.82,4.36,700000
7295,85,749709,0,3,1902,-2,3,76,30263.158,59918,2500,552,1,3,0,0.45,2.78,2300000
9949,115,25804,4,3,1977,0,4,132,15113.637,18939,5800,364,3,1,3.6,1.13,4.34,1995000
8249,96,568035,1,3,1877,0,6,183,8196.722,24573,5550,317,3,1,0,0.81,2.12,1500000
6975,81,793300,4,3,1973,-3,5,162,12006.173,44677,9220,4,5,2,0,0.56,3.06,1945000
5976,70,904845,4,3,1937,-6,7,165,19393.94,3882,8260,576,2,2,0.75,2.76,4.75,3200000
8423,98,528131,4,3,1968,0,4,140,6035.7144,55836,7490,45,7,2,0,0.81,2.12,845000
5171,60,988779,4,1,2004,0,6,173,4482.9478,483,2660,87,1,3,4.25,3.42,6.52,775550
